model,category,frequency,items
gemini-3-pro,Furniture,average_frequency,"['shelf', 'folding table', 'bassinet', 'magazine rack', 'waterbed', 'kitchen island']"
gemini-3-pro,Furniture,least_frequent,"['china cabinet', 'vitrine', 'telephone table', 'commode', 'hope chest', 'air mattre']"
gpt-5.2,Furniture,most_frequent,"['ottoman', 'dining table', 'wardrobe', 'bed', 'sofa', 'cabinet']"
gpt-5.2,Furniture,average_frequency,"['closet organizer', 'storage chest', 'beanbag', 'lounge chair', 'secretaire', 'display case']"
gpt-5.2,Furniture,least_frequent,"['medicine cabinet', 'entryway table', 'corner cabinet', 'bar cabinet', 'murphy bed', 'towel bar']"
deepseek-chat,Sport,most_frequent,"['badminton', 'cricket', 'baseball', 'skateboard', 'tenni', 'basketball']"
deepseek-chat,Sport,average_frequency,"['judo', 'karate', 'netball', 'ice hockey', 'luge', 'sumo']"
deepseek-chat,Sport,least_frequent,"['running', 'halfpipe', 'dominoe', 'rodeo', 'duathlon', 'finswimming']"
gemini-3-pro,Sport,most_frequent,"['badminton', 'judo', 'karate', 'cricket', 'baseball', 'skateboard']"
gemini-3-pro,Sport,average_frequency,"['muay thai', 'heptathlon', 'dodgeball', 'synchronized swimming', 'australian rules football', 'rock climbing']"
gemini-3-pro,Sport,least_frequent,"['running', 'real tenni', 'jogging', 'wheelchair basketball', 'laser tag', 'walking']"
gpt-5.2,Sport,most_frequent,"['badminton', 'judo', 'karate', 'cricket', 'baseball', 'skateboard']"
gpt-5.2,Sport,average_frequency,"['poker', 'tug of war', 'horse racing', 'hurdling', 'cross-country skiing', 'triple jump']"
gpt-5.2,Sport,least_frequent,"['running', 'hang gliding', 'ice fishing', 'drag racing', 'go', 'airsoft']"
deepseek-chat,Toy,most_frequent,"['yo-yo', 'teddy bear', 'doll', 'puzzle', 'action figure', 'building block']"
deepseek-chat,Toy,average_frequency,"['magnifying glas', 'pogo stick', 'walkie-talkie', 'science kit', 'keyboard', 'remote control car']"
deepseek-chat,Toy,least_frequent,"['fiber', 'ghost', 'fan', 'slime kit', 'baby doll', 'handheld game']"
gemini-3-pro,Toy,most_frequent,"['yo-yo', 'teddy bear', 'doll', 'puzzle', 'action figure', 'stuffed animal']"
gemini-3-pro,Toy,average_frequency,"['building block', 'bubble', 'shield', 'shape sorter', 'view-master', 'baseball bat']"
gemini-3-pro,Toy,least_frequent,"['hospital', 'iron', 'shark', 'ladybug', 'pig', 'tiara']"
gpt-5.2,Toy,most_frequent,"['yo-yo', 'teddy bear', 'doll', 'puzzle', 'action figure', 'building block']"
gpt-5.2,Toy,average_frequency,"['ball pit', 'figurine', 'cape', 'remote control car', 'tambourine', 'bouncy ball']"
gpt-5.2,Toy,least_frequent,"['paper doll', 'toy laptop', 'syringe toy', 'toy tractor', 'dart', 'toy rocket']"
deepseek-chat,Vegetable,most_frequent,"['pumpkin', 'zucchini', 'pea', 'onion', 'eggplant', 'carrot']"
deepseek-chat,Vegetable,average_frequency,"['mushroom', 'watercres', 'swiss chard', 'rutabaga', 'fennel']"
deepseek-chat,Vegetable,least_frequent,"['yam', 'shallot', 'spaghetti squash', 'watercress', 'collard greens', 'scallion']"
gemini-3-pro,Vegetable,most_frequent,"['pumpkin', 'zucchini', 'pea', 'onion', 'eggplant', 'carrot']"
gemini-3-pro,Vegetable,average_frequency,"['salsify', 'chayote', 'plantain', 'pinto bean', 'wasabi', 'romaine lettuce']"
gemini-3-pro,Vegetable,least_frequent,"['rhubarb', 'napa cabbage', 'glasswort', 'sea asparagu', 'white onion', 'amaranth']"
gpt-5.2,Vegetable,most_frequent,"['pumpkin', 'zucchini', 'pea', 'onion', 'eggplant', 'carrot']"
gpt-5.2,Vegetable,average_frequency,"['oregano', 'nori', 'fava bean', 'chive', 'cilantro', 'black bean']"
gpt-5.2,Vegetable,least_frequent,"['plantain', 'chicory', 'broccolini', 'alfalfa sprout', 'sugar snap pea', 'radicchio']"
deepseek-chat,Vehicle,most_frequent,"['scooter', 'car', 'bicycle', 'boat', 'truck', 'train']"
deepseek-chat,Vehicle,average_frequency,"['wagon', 'wheelchair', 'raft', 'elevator', 'horse', 'wheelbarrow']"
deepseek-chat,Vehicle,least_frequent,"['cart', 'floatplane', 'umiak', 'landing craft', 'jeep', 'howdah']"
gemini-3-pro,Vehicle,most_frequent,"['scooter', 'car', 'bicycle', 'boat', 'truck', 'train']"
gemini-3-pro,Vehicle,average_frequency,"['chariot', 'hang glider', 'biplane', 'lander', 'maglev', 'destroyer']"
gemini-3-pro,Vehicle,least_frequent,"['cart', 'elevator', 'wheelbarrow', 'house', 'order', 'board']"
gpt-5.2,Vehicle,most_frequent,"['scooter', 'car', 'bicycle', 'boat', 'truck', 'train']"
gpt-5.2,Vehicle,average_frequency,"['wagon', 'tank', 'cart', 'sled', 'blimp', 'tanker']"
gpt-5.2,Vehicle,least_frequent,"['raft', 'horse', 'wheelbarrow', 'armored car', 'subway train', 'dog sled']"
deepseek-chat,Weapon,most_frequent,"['flail', 'spear', 'halberd', 'pistol', 'sling', 'knife']"
deepseek-chat,Weapon,average_frequency,"['screwdriver', 'rocket', 'shell', 'blunderbus', 'cattle prod', 'kunai']"
deepseek-chat,Weapon,least_frequent,"['hand grenade', 'foot', 'blackmail', 'portculli', 'arsenic', 'abati']"
gemini-3-pro,Weapon,most_frequent,"['flail', 'spear', 'halberd', 'pistol', 'sling', 'knife']"
gemini-3-pro,Weapon,average_frequency,"['cutla', 'shiv', 'warship', 'brick', 'sai', 'ied']"
gemini-3-pro,Weapon,least_frequent,"['screwdriver', 'napalm', 'phaser', 'harpoon', 'net', 'pitchfork']"
gpt-5.2,Weapon,most_frequent,"['flail', 'spear', 'halberd', 'pistol', 'sling', 'knife']"
gpt-5.2,Weapon,average_frequency,"['rocket', 'shortsword', 'stun gun', 'shield', 'scythe', 'chakram']"
gpt-5.2,Weapon,least_frequent,"['gun', 'tank', 'stone', 'tanto', 'depth charge', 'pickaxe']"
