model,category,item,attributes,attribute_scores,basic_measure,log_measure,frequency
Qwen2.5-7B-Instruct,Furniture,patio set,"['spacious', 'versatile', 'weather-resistant', 'complete', 'modular', 'durable', 'comfortable', 'outdoor', 'stylish', 'functional']","[np.int64(4), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(6), np.int64(1), np.int64(2), np.int64(7)]",32,9.50599061407714,11
Qwen2.5-7B-Instruct,Furniture,rocking horse,"['rocking', 'sturdy', 'toy', 'stable', 'swinging', 'wooden', 'childlike', 'horse-shaped', 'colorful', 'durable', 'wooden-sounding', 'child-sized', 'classic', 'playful']","[np.int64(1), np.int64(6), np.int64(1), np.int64(3), np.int64(1), np.int64(13), np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(1), np.int64(2), np.int64(1)]",39,8.451053388911692,5
Qwen2.5-7B-Instruct,Furniture,rug,"['floor', 'decorative', 'rectangular', 'woven', 'textured', 'flat', 'hand-knitted', 'soft', 'cozy', 'patterned', 'handmade', 'durable', 'colorful', 'traditional']","[np.int64(2), np.int64(2), np.int64(9), np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(8)]",41,10.450452222917992,16
Qwen2.5-7B-Instruct,Furniture,sofa,"['spacious', 'upholstered', 'reclining', 'ergonomic', 'rectangular', 'modular', 'seating', 'furniture', 'cozy', 'cushioned', 'seating area', 'durable', 'comfortable', 'lounge']","[np.int64(4), np.int64(4), np.int64(2), np.int64(3), np.int64(9), np.int64(2), np.int64(5), np.int64(5), np.int64(3), np.int64(2), np.int64(1), np.int64(5), np.int64(6), np.int64(1)]",52,15.86655262512241,30
Qwen2.5-7B-Instruct,Furniture,wardrobe,"['multi-level', 'organized', 'clothes', 'enclosed', 'wooden', 'large', 'clothing', 'vertical', 'closet', 'hanging', 'storative', 'storage']","[np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(13), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(6)]",35,8.227909837597483,28
Qwen2.5-7B-Instruct,Vehicle,bicycle,"['wheels', 'handlebars', 'fast', 'metal', 'tires', 'seat', 'lightweight', 'durable', 'chain', 'pedals', 'brakes', 'green', 'two-wheeled']","[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3)]",24,5.0875963352323845,30
Qwen2.5-7B-Instruct,Vehicle,bus,"['smooth', 'metallic', 'hard', 'lightweight', 'cylindrical', 'round']","[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1)]",8,1.0986122886681098,30
Qwen2.5-7B-Instruct,Vehicle,car,"['powerful', 'spacious', 'modern', 'economical', 'luxurious', 'fast', 'efficient', 'reliable', 'sporty', 'eco-friendly', 'durable', 'comfortable']","[np.int64(5), np.int64(6), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(6), np.int64(3)]",39,12.477777763458812,30
Qwen2.5-7B-Instruct,Vehicle,convertible,"['flexible', 'convertible', 'versatile', 'vehicle', 'roofless', 'openable', 'open-top', 'adjustable', 'stylish', 'practical']","[np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(3)]",20,4.969813299576001,5
Qwen2.5-7B-Instruct,Vehicle,coupe,"['aerodynamic', 'luxurious', 'sporty', 'high-performance', 'compact', 'stylish', 'sleek']","[np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(2)]",16,4.969813299576001,5
Qwen2.5-7B-Instruct,Vehicle,jeep,"['powerful', 'spacious', 'versatile', 'four-door', 'robust', 'durable', 'four-wheel-drive', 'utilitarian', 'off-road', 'rugged']","[np.int64(5), np.int64(6), np.int64(6), np.int64(2), np.int64(1), np.int64(6), np.int64(2), np.int64(3), np.int64(2), np.int64(4)]",37,11.549064511586101,27
Qwen2.5-7B-Instruct,Vehicle,minivan,"['spacious', 'affordable', 'versatile', 'family-oriented', 'boxy', 'reliable', 'comfortable', 'roomy', 'practical', 'durable', 'utilitarian', 'fuel-efficient']","[np.int64(6), np.int64(4), np.int64(6), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(6), np.int64(3), np.int64(2)]",41,12.947781392704547,6
Qwen2.5-7B-Instruct,Vehicle,motorcycle,"['powerful', 'loud', 'engine-powered', 'fast', 'sporty', 'open-air', 'engine', 'motorized', 'wheeled', 'sleek', 'combustion', 'agile', 'two-wheeled']","[np.int64(5), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(3)]",26,6.984716320118266,30
Qwen2.5-7B-Instruct,Vehicle,scooter,"['affordable', 'electric', 'portable', 'urban', 'motorized', 'compact', 'lightweight', 'convenient', 'foldable', 'two-wheeled']","[np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(1), np.int64(1), np.int64(3)]",21,5.662960480135946,27
Qwen2.5-7B-Instruct,Vehicle,sedan,"['spacious', 'affordable', 'modern', 'versatile', 'car', 'efficient', 'reliable', 'four-door', 'compact', 'passenger', 'practical', 'comfortable', 'fuel-efficient']","[np.int64(6), np.int64(4), np.int64(2), np.int64(6), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(4), np.int64(1), np.int64(3), np.int64(3), np.int64(2)]",40,12.829998357048165,9
Qwen2.5-7B-Instruct,Vehicle,suv,"['powerful', 'spacious', 'versatile', 'high-roof', 'luxurious', 'large', 'four-wheel-drive', 'off-road', 'rugged']","[np.int64(5), np.int64(6), np.int64(6), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(4)]",31,9.757305042358047,20
Qwen2.5-7B-Instruct,Vehicle,truck,"['powerful', 'heavy', 'long', 'boxy', 'noisy', 'rugged', 'diesel', 'wheel', 'commercial', 'large', 'durable', 'transportable', 'cargo']","[np.int64(5), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(1)]",29,7.272398392570047,30
Qwen2.5-7B-Instruct,Vehicle,van,"['utilitarian', 'spacious', 'affordable', 'versatile', 'vehicle', 'boxy', 'efficient', 'open-top', 'compact', 'wheeled', 'durable', 'transportable', 'mobile', 'rugged']","[np.int64(3), np.int64(6), np.int64(4), np.int64(6), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(4), np.int64(2), np.int64(6), np.int64(2), np.int64(1), np.int64(4)]",48,15.602587079287948,26
Qwen2.5-7B-Instruct,Vegetable,bean,"['flavorful', 'legume', 'flat', 'dried', 'yellow', 'leguminous', 'protein-rich', 'nutritious', 'creamy', 'cylindrical', 'small', 'round', 'green', 'edible']","[np.int64(5), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(13), np.int64(1), np.int64(9), np.int64(2), np.int64(4), np.int64(9), np.int64(11)]",63,15.125614780726119,13
Qwen2.5-7B-Instruct,Vegetable,bell pepper,"['flavorful', 'red', 'sweet', 'spicy', 'yellow', 'nutritious', 'mild', 'orange', 'vegetable', 'cylindrical', 'crunchy', 'green']","[np.int64(5), np.int64(4), np.int64(2), np.int64(2), np.int64(2), np.int64(13), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(7), np.int64(9)]",65,17.718152094706483,15
Qwen2.5-7B-Instruct,Vegetable,broccoli,"['winter', 'healthy', 'bitter', 'nutritious', 'vegetable', 'floretted', 'crunchy', 'green', 'cruciferous']","[np.int64(3), np.int64(2), np.int64(2), np.int64(13), np.int64(7), np.int64(2), np.int64(7), np.int64(9), np.int64(3)]",48,12.930660351924438,30
Qwen2.5-7B-Instruct,Vegetable,carrot,"['vegetable', 'sweet', 'slender', 'nutritious', 'orange', 'rootvegetable', 'cylindrical', 'root', 'crunchy', 'edible']","[np.int64(7), np.int64(2), np.int64(1), np.int64(13), np.int64(3), np.int64(1), np.int64(9), np.int64(2), np.int64(7), np.int64(11)]",56,13.536796155494754,30
Qwen2.5-7B-Instruct,Vegetable,cauliflower,"['winter', 'white', 'nutritious', 'vegetable', 'cylindrical', 'floretted', 'crunchy', 'summer', 'edible', 'cruciferous']","[np.int64(3), np.int64(1), np.int64(13), np.int64(7), np.int64(9), np.int64(2), np.int64(7), np.int64(4), np.int64(11), np.int64(3)]",60,15.328555624722808,21
Qwen2.5-7B-Instruct,Vegetable,kale,"['fibrous', 'vitamin-rich', 'cold-tolerant', 'winter-hardy', 'leafy', 'bitter', 'edible', 'nutritious', 'green', 'cruciferous']","[np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(11), np.int64(13), np.int64(9), np.int64(3)]",46,10.743588146052236,10
Qwen2.5-7B-Instruct,Vegetable,lettuce,"['flat', 'edible', 'crisp', 'fresh', 'nutritious', 'salad', 'watery', 'vegetable', 'cylindrical', 'crunchy', 'green', 'leafy']","[np.int64(2), np.int64(11), np.int64(1), np.int64(2), np.int64(13), np.int64(1), np.int64(1), np.int64(7), np.int64(9), np.int64(7), np.int64(9), np.int64(3)]",66,15.734020732830974,27
Qwen2.5-7B-Instruct,Vegetable,onion,"['flavorful', 'savory', 'versatile', 'translucent', 'pearly', 'pungent', 'cylindrical', 'wholesome', 'nutritious', 'bulbous', 'crunchy', 'round', 'edible']","[np.int64(5), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(9), np.int64(1), np.int64(13), np.int64(1), np.int64(7), np.int64(4), np.int64(11)]",59,13.893471099433485,5
Qwen2.5-7B-Instruct,Vegetable,pea,"['podded', 'cool', 'nutritious', 'small', 'round', 'green', 'edible']","[np.int64(1), np.int64(1), np.int64(13), np.int64(2), np.int64(4), np.int64(9), np.int64(11)]",41,9.239510749275963,14
Qwen2.5-7B-Instruct,Vegetable,pepper,"['flavorful', 'red', 'whole', 'ground', 'spicy', 'pungent', 'fresh', 'aromatic', 'dried', 'hot', 'green']","[np.int64(5), np.int64(4), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(9)]",31,8.371010681238156,11
Qwen2.5-7B-Instruct,Vegetable,radish,"['red', 'winter', 'pungent', 'root vegetable', 'nutritious', 'root', 'vegetable', 'cylindrical', 'orange', 'crunchy', 'summer', 'edible']","[np.int64(4), np.int64(3), np.int64(3), np.int64(1), np.int64(13), np.int64(2), np.int64(7), np.int64(9), np.int64(3), np.int64(7), np.int64(4), np.int64(11)]",67,17.81346227451081,20
Qwen2.5-7B-Instruct,Vegetable,spinach,"['fibrous', 'leafygreens', 'iron', 'vegetables', 'healthy', 'calcium', 'nutritious', 'vitamina', 'green', 'edible', 'leafy']","[np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(13), np.int64(1), np.int64(9), np.int64(11), np.int64(3)]",45,9.644975857384127,30
Qwen2.5-7B-Instruct,Vegetable,tomato,"['flavorful', 'red', 'tangy', 'ripe', 'juicy', 'summer', 'nutritious', 'acidic', 'cylindrical', 'round', 'vine-grown', 'edible']","[np.int64(5), np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(13), np.int64(1), np.int64(9), np.int64(4), np.int64(1), np.int64(11)]",55,12.928390203389899,21
Qwen2.5-7B-Instruct,Vegetable,zucchini,"['green', 'tender', 'savory', 'squash', 'nutritious', 'mild', 'vegetable', 'cylindrical', 'summer', 'edible']","[np.int64(9), np.int64(1), np.int64(2), np.int64(1), np.int64(13), np.int64(2), np.int64(7), np.int64(9), np.int64(4), np.int64(11)]",59,14.075792656227442,10
Qwen2.5-7B-Instruct,Weapon,axe,"['chopping', 'hand-held', 'versatile', 'heavy', 'cutting', 'splitting', 'blunt', 'ancient', 'functional', 'wooden', 'tool', 'practical', 'handcrafted', 'rugged', 'sharp']","[np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(2), np.int64(1), np.int64(5), np.int64(7), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(7)]",44,11.569683798788837,30
Qwen2.5-7B-Instruct,Weapon,baton,"['staff', 'signaling', 'long', 'rod', 'conducting', 'symbolic', 'ceremonial', 'slender', 'club', 'staff-like', 'club-like', 'cylindrical']","[np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4)]",21,3.8712010109078907,6
Qwen2.5-7B-Instruct,Weapon,battleaxe,"['formidable', 'brutal', 'heavy', 'ancient', 'blunt', 'metal', 'weapon', 'melee', 'edged', 'sharp']","[np.int64(2), np.int64(2), np.int64(6), np.int64(7), np.int64(5), np.int64(4), np.int64(8), np.int64(1), np.int64(3), np.int64(7)]",45,13.243660232360508,6
Qwen2.5-7B-Instruct,Weapon,bow,"['elastic', 'flexible', 'hunting', 'drawn', 'musical', 'decorative', 'curved', 'stringed', 'projectile', 'released', 'traditional']","[np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(2)]",15,2.772588722239781,30
Qwen2.5-7B-Instruct,Weapon,crossbow,"['medieval', 'ranged', 'powerful', 'versatile', 'ancient', 'reliable', 'portable', 'cumbersome', 'lethal', 'projectile', 'accurate', 'historical', 'mechanical', 'complex']","[np.int64(2), np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(2), np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(1)]",36,10.604602902745249,25
Qwen2.5-7B-Instruct,Weapon,dagger,"['versatile', 'ancient', 'deadly', 'pointed', 'lightweight', 'edged', 'stealthy', 'small', 'throwable', 'historical', 'sharp']","[np.int64(4), np.int64(7), np.int64(4), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(7)]",36,10.941075139366463,30
Qwen2.5-7B-Instruct,Weapon,flail,"['brutal', 'long', 'heavy', 'ancient', 'blunt', 'weapon', 'whip-like', 'ineffective', 'cumbersome', 'multi-sectional', 'historical', 'swinging']","[np.int64(2), np.int64(6), np.int64(6), np.int64(7), np.int64(5), np.int64(8), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(1)]",43,11.70321519141336,7
Qwen2.5-7B-Instruct,Weapon,gun,"['metallic', 'deadly', 'fired', 'rifled', 'weapon', 'barrelled', 'lethal', 'cylindrical', 'ammunition', 'chambered', 'dangerous']","[np.int64(6), np.int64(4), np.int64(1), np.int64(2), np.int64(8), np.int64(2), np.int64(5), np.int64(4), np.int64(2), np.int64(3), np.int64(2)]",39,12.124428656489663,20
Qwen2.5-7B-Instruct,Weapon,halberd,"['medieval', 'polearm', 'defensive', 'heavy', 'long', 'metal', 'wooden', 'two-handed', 'weapon', 'spear-like', 'offensive', 'sharp']","[np.int64(2), np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(4), np.int64(3), np.int64(1), np.int64(8), np.int64(1), np.int64(1), np.int64(7)]",41,10.786924459539206,5
Qwen2.5-7B-Instruct,Weapon,hammer,"['æ\x89\x93å\x87»æ\x80§ç\x9a\x84', 'æ\x89\x8bå·¥ç\x9a\x84', 'metallic', 'sturdy', 'heavy', 'blunt', 'metal', 'tool']","[np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(6), np.int64(5), np.int64(4), np.int64(3)]",27,7.677863500678211,9
Qwen2.5-7B-Instruct,Weapon,katana,"['sharp', 'elegant', 'japanese', 'long', 'deadly', 'sword', 'ceremonial', 'lightweight', 'curved', 'lethal', 'durable', 'single-edged', 'traditional']","[np.int64(7), np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(5), np.int64(1), np.int64(1), np.int64(2)]",35,9.50599061407714,5
Qwen2.5-7B-Instruct,Weapon,knife,"['dull', 'sharp-edged', 'metallic', 'handheld', 'cutting', 'bladed', 'metal', 'tool', 'weapon', 'utensil', 'edged', 'blade', 'dangerous', 'sharp']","[np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(8), np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(7)]",43,11.885536748207315,30
Qwen2.5-7B-Instruct,Weapon,pistol,"['metallic', 'trigger', 'firearm', 'handheld', 'magazine-fed', 'weapon', 'barrel', 'compact', 'adjustable', 'lethal', 'cylindrical', 'ammunition', 'chambered']","[np.int64(6), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(8), np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(2), np.int64(3)]",39,11.143599403477936,20
Qwen2.5-7B-Instruct,Weapon,rifle,"['powerful', 'metallic', 'firearm', 'long', 'handheld', 'rifled', 'weapon', 'chambered', 'barrelled', 'adjustable', 'lethal', 'cylindrical', 'accurate']","[np.int64(3), np.int64(6), np.int64(2), np.int64(6), np.int64(3), np.int64(2), np.int64(8), np.int64(3), np.int64(2), np.int64(2), np.int64(5), np.int64(4), np.int64(2)]",48,15.420265522493992,17
Qwen2.5-7B-Instruct,Weapon,spear,"['hunting', 'battle', 'long', 'ancient', 'combat', 'pointed', 'wooden', 'weapon', 'throwable', 'thrusting', 'sharp']","[np.int64(2), np.int64(1), np.int64(6), np.int64(7), np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(2), np.int64(1), np.int64(7)]",40,10.941075139366463,30
Qwen2.5-7B-Instruct,Weapon,staff,"['versatile', 'dedicated', 'collaborative', 'supportive', 'efficient', 'reliable', 'adaptable', 'professional', 'punctual', 'experienced', 'adaptive', 'knowledgeable', 'hardworking']","[np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",17,2.0794415416798357,19
Qwen2.5-7B-Instruct,Weapon,warhammer,"['powerful', 'battleworn', 'formidable', 'metallic', 'heavy', 'ancient', 'iconic', 'blunt', 'deadly']","[np.int64(3), np.int64(1), np.int64(2), np.int64(6), np.int64(6), np.int64(7), np.int64(1), np.int64(5), np.int64(4)]",35,10.31692083029347,5
Qwen2.5-7B-Instruct,Fruit,apple,"['fruit', 'red', 'sweet', 'small', 'yellow', 'ripe', 'juicy', 'edible', 'fresh', 'nutritious', 'oval', 'crunchy', 'round', 'green']","[np.int64(4), np.int64(3), np.int64(11), np.int64(5), np.int64(6), np.int64(3), np.int64(11), np.int64(7), np.int64(2), np.int64(8), np.int64(3), np.int64(2), np.int64(10), np.int64(3)]",78,21.691962587900314,30
Qwen2.5-7B-Instruct,Fruit,avocado,"['smooth', 'tropical', 'edible', 'fatty', 'nutritious', 'mild', 'creamy', 'oval', 'perishable', 'green']","[np.int64(1), np.int64(4), np.int64(7), np.int64(1), np.int64(8), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",32,8.70748291785937,8
Qwen2.5-7B-Instruct,Fruit,banana,"['fibrous', 'long', 'sweet', 'potassium-rich', 'soft', 'tropical', 'yellow', 'ripe', 'curved', 'bunchable']","[np.int64(4), np.int64(1), np.int64(11), np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(3), np.int64(1), np.int64(1)]",33,8.060855752934316,30
Qwen2.5-7B-Instruct,Fruit,cherry,"['red', 'sweet', 'fruity', 'juicy', 'edible', 'delicate', 'nutritious', 'small', 'round', 'sour']","[np.int64(3), np.int64(11), np.int64(1), np.int64(11), np.int64(7), np.int64(2), np.int64(8), np.int64(5), np.int64(10), np.int64(4)]",62,15.911219072107983,14
Qwen2.5-7B-Instruct,Fruit,grape,"['purple', 'clusters', 'sweet', 'antioxidant', 'sour', 'juicy', 'edible', 'nutritious', 'seedless', 'round', 'vine-grown', 'green']","[np.int64(2), np.int64(1), np.int64(11), np.int64(1), np.int64(4), np.int64(11), np.int64(7), np.int64(8), np.int64(1), np.int64(10), np.int64(1), np.int64(3)]",60,14.301781159673881,24
Qwen2.5-7B-Instruct,Fruit,kiwi,"['fruit', 'tangy', 'exotic', 'kiwibird', 'new zealand', 'nutritious', 'oval', 'fuzzy', 'small', 'brown']","[np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(3), np.int64(2), np.int64(5), np.int64(1)]",30,8.658692753689937,20
Qwen2.5-7B-Instruct,Fruit,lemon,"['tangy', 'citrus', 'yellow', 'citric', 'juicy', 'aromatic', 'acidic', 'small', 'round', 'sour', 'refreshing']","[np.int64(3), np.int64(2), np.int64(6), np.int64(1), np.int64(11), np.int64(5), np.int64(3), np.int64(5), np.int64(10), np.int64(4), np.int64(4)]",54,15.374076140024616,18
Qwen2.5-7B-Instruct,Fruit,mango,"['flavorful', 'fibrous', 'sweet', 'tropical', 'yellow', 'juicy', 'citrusy', 'nutritious', 'round', 'summer', 'refreshing']","[np.int64(3), np.int64(4), np.int64(11), np.int64(4), np.int64(6), np.int64(11), np.int64(1), np.int64(8), np.int64(10), np.int64(2), np.int64(4)]",64,16.920219202086404,30
